GAME_DATE_EST,game_id,home_team,away_team,SEASON,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,book_name_over,book_id_over,total1_over,over_odds,PTS_comb_actual,book_name_under,book_id_under,total1_under,under_odds,point_average_last10,point_againts_average_last10,away_point_average_last10,away_point_againts_average_last10
2017-11-10,21700175,1610612762,1610612748,2017,74.0,0.338,0.8640000000000001,0.238,12.0,40.0,84.0,0.39,0.778,0.4,10.0,48.0,0,Heritage,169,193.5,-105.0,158.0,Bovada,999996,194.0,-105.0,101.77083333333334,101.20833333333334,101.73611111111111,104.96527777777776
2017-11-11,21700177,1610612764,1610612737,2017,113.0,0.5379999999999999,0.7859999999999999,0.292,22.0,42.0,94.0,0.41,0.706,0.424,19.0,32.0,1,Heritage,169,216.0,-105.0,207.0,5Dimes,19,216.5,-103.0,110.34821428571428,106.78571428571428,101.76666666666668,107.81666666666666
2017-11-11,21700184,1610612744,1610612755,2017,135.0,0.585,0.962,0.519,31.0,39.0,114.0,0.468,0.7,0.429,30.0,38.0,1,Bovada,999996,231.0,-115.0,249.0,Pinnacle Sports,238,232.5,-105.0,118.75396825396824,108.07142857142856,107.3968253968254,107.5952380952381
2017-11-11,21700187,1610612762,1610612751,2017,114.0,0.482,0.84,0.379,19.0,44.0,106.0,0.461,0.7440000000000001,0.304,13.0,41.0,1,Heritage,169,208.0,-105.0,220.0,Pinnacle Sports,238,208.5,-104.0,100.16666666666669,100.52777777777776,111.5625,111.625
2017-11-11,21700186,1610612756,1610612750,2017,118.0,0.535,0.667,0.385,21.0,46.0,110.0,0.406,0.8,0.2,16.0,47.0,1,5Dimes,19,231.5,-105.0,228.0,Heritage,169,232.0,-105.0,106.0,116.125,109.0,111.5625
2017-11-11,21700185,1610612743,1610612753,2017,125.0,0.529,0.778,0.414,29.0,50.0,107.0,0.471,0.7,0.355,24.0,36.0,1,Pinnacle Sports,238,216.5,-107.0,232.0,Heritage,169,217.0,-105.0,105.94444444444444,105.20833333333334,106.88888888888889,103.05555555555556
2017-11-11,21700183,1610612759,1610612741,2017,133.0,0.6,0.813,0.667,33.0,44.0,94.0,0.465,0.615,0.261,22.0,28.0,1,Pinnacle Sports,238,190.0,-101.0,227.0,Heritage,169,190.0,-105.0,101.64285714285714,99.97857142857144,96.3125,104.0625
2017-11-11,21700182,1610612749,1610612747,2017,98.0,0.412,0.846,0.261,16.0,42.0,90.0,0.419,0.595,0.273,21.0,48.0,1,Heritage,169,217.5,-105.0,188.0,Bookmaker,93,218.5,-110.0,102.75,106.60714285714286,103.08333333333334,106.58333333333334
2017-11-11,21700181,1610612742,1610612739,2017,104.0,0.424,0.762,0.294,21.0,42.0,111.0,0.4320000000000001,0.8290000000000001,0.387,18.0,53.0,0,Heritage,169,214.0,-105.0,215.0,Pinnacle Sports,238,214.0,-103.0,100.33333333333334,104.05555555555556,107.4857142857143,111.74285714285716
2017-11-11,21700178,1610612740,1610612746,2017,111.0,0.5379999999999999,0.792,0.375,26.0,51.0,103.0,0.407,0.852,0.385,16.0,37.0,1,Bovada,999996,217.0,-115.0,214.0,Heritage,169,218.5,-105.0,107.7,110.05,107.8,108.35
2017-11-11,21700180,1610612745,1610612763,2017,111.0,0.446,0.75,0.356,18.0,46.0,96.0,0.481,0.778,0.3,23.0,41.0,1,Pinnacle Sports,238,210.0,100.0,207.0,Bovada,999996,211.0,-115.0,109.08333333333334,102.9,102.1031746031746,97.23015873015872
2017-11-11,21700179,1610612752,1610612758,2017,118.0,0.522,0.8,0.444,29.0,40.0,91.0,0.375,0.8,0.318,19.0,42.0,1,Pinnacle Sports,238,201.5,-103.0,209.0,Heritage,169,202.0,-105.0,101.31666666666666,108.03333333333332,94.14285714285714,102.74285714285716
2017-11-12,21700191,1610612760,1610612742,2017,112.0,0.5,0.758,0.469,21.0,37.0,99.0,0.425,0.778,0.297,18.0,41.0,1,Heritage,169,203.0,-105.0,211.0,5Dimes,19,203.5,-105.0,102.52678571428572,97.64285714285714,100.35555555555555,104.5
2017-11-12,21700190,1610612754,1610612745,2017,95.0,0.446,0.619,0.364,18.0,41.0,118.0,0.478,0.833,0.362,24.0,47.0,0,5Dimes,19,226.0,-108.0,213.0,Pinnacle Sports,238,226.0,105.0,108.3,107.85,109.21428571428572,102.22142857142856
